Time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,Q1,Q2,Dt1,Dt2,C1,C2,TE
[min],°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,l/h,l/h,°C,°C,kcal,kcal,°C
0.233,30.859,26.221,26.416,26.758,29.639,25.684,25.635,25.537,25.488,26.758,571.875,548.877,1.221,1.270,698.090,696.816,28.228
0.250,30.713,26.123,26.514,26.807,29.736,25.732,25.635,25.586,25.635,26.660,571.143,546.973,0.977,1.025,557.756,560.861,28.231
0.267,30.664,26.172,26.367,26.758,29.785,25.732,25.537,25.586,25.635,26.709,571.582,548.438,0.879,1.074,502.367,589.142,28.279
0.283,30.713,26.270,26.465,26.758,29.688,25.781,25.684,25.391,25.537,26.709,571.875,546.973,1.025,1.172,586.395,640.984,28.231
0.300,30.664,26.221,26.514,26.807,29.688,25.732,25.732,25.586,25.537,26.758,573.047,546.680,0.977,1.221,559.616,667.334,28.257
0.317,30.713,26.172,26.416,26.855,29.688,25.684,25.684,25.537,25.488,26.807,571.729,546.826,1.025,1.318,586.245,720.913,28.279
0.333,30.713,26.172,26.416,26.855,29.688,25.635,25.684,25.439,25.586,26.611,573.340,548.730,1.025,1.025,587.897,562.663,28.183
0.350,30.762,26.123,26.416,26.807,29.639,25.732,25.586,25.537,25.635,26.611,571.875,547.705,1.123,0.977,642.242,534.868,28.158
0.367,30.664,26.270,26.514,26.807,29.688,25.781,25.684,25.586,25.635,26.611,574.658,546.680,0.977,0.977,561.190,533.867,28.188
0.383,30.762,26.270,26.465,26.904,29.639,25.684,25.732,25.488,25.586,26.709,573.486,547.852,1.123,1.123,644.052,615.263,28.207
0.400,30.713,26.221,26.416,26.855,29.736,25.635,25.537,25.537,25.439,26.709,571.875,548.291,0.977,1.270,558.472,696.073,28.255
0.417,30.713,26.221,26.563,26.807,29.639,25.732,25.635,25.537,25.684,26.660,572.754,546.240,1.074,0.977,615.263,533.438,28.185
